Orden,Familia,Taxa,Ingles,Espanol_CR,Estatus,Species
,,Microchera albocoronata,Snowcap,Colibrí Copete de Nieve,R-END,Snowcap
,,Microchera cupreiceps,Coppery-headed Emerald,Esmeralda de Coronilla Cobriza,R-END,Coppery-headed Emerald
,,Eupherusa eximia,Stripe-tailed Hummingbird,Colibrí Colirrayado,R,Stripe-tailed Hummingbird
,,Phaeochroa cuvierii,Scaly-breasted Hummingbird,Colibrí Pechiescamado,R,Scaly-breasted Hummingbird
,,Amazilia rutila,Cinnamon Hummingbird,Colibrí Canelo (Gorrión),R,Cinnamon Hummingbird
,,Amazilia tzacatl,Rufous-tailed Hummingbird,Colibrí Rabirrufo (Gorrión),R,Rufous-tailed Hummingbird
,,Polyerata amabilis,Blue-chested Hummingbird,Colibrí Pechiazul (Gorrión),R,Blue-chested Hummingbird
,,Chlorestes eliciae,Blue-throated Goldentail,Colibrí Colidorado,R,Blue-throated Goldentail
Gruiformes,,,,,,
,Rallidae,,,,,
,,Porzana carolina,Sora,Polluela Sora,M,Sora
,,Porphyrio martinicus,Purple Gallinule,"Gallareta Morada (Polla de Agua, Gallina de Agua, Calamón Morada)",R,Purple Gallinule
,,Laterallus albigularis,White-throated Crake,"Polluela Gargantiblanca (Freidora, Huevo frito)",R,White-throated Crake
Charadriiformes,,,,,,
,Charadriidae,,,,,
,,Vanellus chilensis,Southern Lapwing,Chorlitazo Sureño (Avefría),R,Southern Lapwing
,,Charadrius vociferus,Killdeer,"Chorlitejo de Dos Collares (Pijije, Tildío)","R, M",Killdeer
,Jacanidae,,,,,
,,Jacana spinosa,Northern Jacana,"Jacana Centroamericana (Cirujano, Gallito de Agua, Mulita, Yegüita)",R,Northern Jacana
,Scolopacidae,,,,,
,,Actitis macularius,Spotted Sandpiper,"Andarríos Maculado (Alzacolita, Piririza, Tigüiza)",M,Spotted Sandpiper
,,Tringa solitaria,Solitary Sandpiper,Andarríos Solitario (Tigüiza),M,Solitary Sandpiper
Eurypygiformes,,,,,,
,Eurypygidae,,,,,
,,Eurypyga helias,Sunbittern,"Garza del Sol (Sol y Luna, Ave Canasta)",R,Sunbittern
Ciconiiformes,,,,,,
,Ciconiidae,,,,,
,,Mycteria americana,Wood Stork,"Cigüeñón (Garzón, Guairón, Cigüeña)","R, M",Wood Stork
Suliformes,,,,,,
,Fregatidae,,,,,
,,Fregata magnificens,Magnificent Frigatebird,"Rabihorcado Magno (Tijereta, Fragata, Zopilote de Mar)",R,Magnificent Frigatebird
Pelecaniformes,,,,,,
,Ardeidae,,,,,
,,Tigrisoma fasciatum,Fasciated Tiger-Heron,"Garza-Tigre de Río (Martín Peña, Pájaro Vaco)",R,Fasciated Tiger-Heron
,,Tigrisoma mexicanum,Bare-throated Tiger-Heron,"Garza-Tigre Cuellinuda (Garzón, Martín Peña, Pájaro Vaco)",R,Bare-throated Tiger-Heron
,,Ardea alba,Great Egret,Garceta Grande (Garza Real),"R, M",Great Egret
,,Egretta thula,Snowy Egret,Garceta Nivosa,"R, M",Snowy Egret
,,Egretta caerulea,Little Blue Heron,Garceta Azul (Garza Negra),"R, M",Little Blue Heron
,,Bubulcus ibis,Cattle Egret,"Garcilla Bueyera (Garcilla Ganadera, Garza Vaquera, Garza de Ganado)","R, M",Cattle Egret
,,Butorides virescens,Green Heron,Garcilla Verde (Martín Peña),"R, M",Green Heron
,,Nyctanassa violacea,Yellow-crowned Night-Heron,Martinete Cabecipinto,"R, M",Yellow-crowned Night-Heron
,,Cochlearius cochlearius,Boat-billed Heron,"Pico Cuchara (Chocuaco, Cuaca)",R,Boat-billed Heron
,Threskiornithidae,,,,,
,,Platalea ajaja,Roseate Spoonbill,"Espátula Rosada (Garza Morena o Rosada, Pato Cuchara o Rosado)",R,Roseate Spoonbill
Cathartiformes,,,,,,
,Cathartidae,,,,,
,,Sarcoramphus papa,King Vulture,"Zopilote Rey (Rey Gallinazo, Rey de Zopilotes)",R,King Vulture
,,Coragyps atratus,Black Vulture,"Zopilote Negro (Zoncho, Gallinazo)",R,Black Vulture
,,Cathartes aura,Turkey Vulture,"Zopilote Cabecirrojo (Zonchite, Noneca)","R, M",Turkey Vulture
Accipitriformes,,,,,,
,Pandionidae,,,,,
,,Pandion haliaetus,Osprey,Águila Pescadora (Gavilán Pescador),M,Osprey
,Accipitridae,,,,,
