Orden,Familia,Taxa,Ingles,Español,Estatus,
,,Tigrisoma lineatum,Rufescent Tiger-Heron,"Garza-Tigre de Selva (Martín Peña, Pájaro Vaco)",R,
,,Tigrisoma mexicanum,Bare-throated Tiger-Heron,"Garza-Tigre Cuellinuda (Garzón, Martín Peña, Pájaro Vaco)",R,
,,Tigrisoma fasciatum,Fasciated Tiger-Heron,"Garza-Tigre de Río (Martín Peña, Pájaro Vaco)",R,
,,Cochlearius cochlearius,Boat-billed Heron,"Pico Cuchara (Chocuaco, Cuaca)",R,
,,Agamia agami,Agami Heron,Garza Pechicastaña (Agamia),R,
,,Botaurus lentiginosus,American Bittern,Avetoro Norteño (Puncus),M?,
,,Botaurus pinnatus,Pinnated Bittern,"Avetoro Neotropical (Puncus, Mirasol)",R,
,,Ixobrychus exilis,Least Bittern,Avetorillo Pantanero (Mirasol),"R, M?",
,,Nyctanassa violacea,Yellow-crowned Night Heron,Martinete Cabecipinto,"R, M",
,,Nycticorax nycticorax,Black-crowned Night Heron,Martinete Coroninegro (Chocuaca),"R, M",
,,Syrigma sibilatrix,Whistling Heron,Garza Silbadora,"A,R?",
,,Egretta caerulea,Little Blue Heron,Garceta Azul (Garza Negra),"R, M",
,,Egretta tricolor,Tricolored Heron,Garceta Tricolor,"R, M",
,,Egretta rufescens,Reddish Egret,Garceta Rojiza,M,
,,Egretta thula,Snowy Egret,Garceta Nivosa,"R, M",
,,Butorides striata,Striated Heron,"Garcilla Cuelligrís (Chocuaco, Martín Peña)",A,
,,Butorides virescens,Green Heron,Garcilla Verde (Martín Peña),"R, M",
,,Bubulcus ibis,Western Cattle Egret,"Garcilla Bueyera (Garcilla Ganadera, Garza Vaquera, Garza de Ganado)","R, M",
,,Ardea herodias,Great Blue Heron,"Garzón Azulado (Garza Ceniza, Garzón)",M,
,,Ardea alba,Great Egret,Garceta Grande (Garza Real),"R, M",
,Threskiornithidae (6),,,,,
,,Eudocimus albus,White Ibis,Ibis Blanco (Coco),R,
,,Plegadis falcinellus,Glossy Ibis,Ibis Morito (Coco Negro),R,
,,Plegadis chihi,White-faced Ibis,Ibis Cariblanco,M?,
,,Mesembrinibis cayennensis,Green Ibis,Ibis Verde (Coco Negro),R,
,,Phimosus infuscatus,Bare-faced Ibis,Ibis Caripelado,A,
,,Platalea ajaja,Roseate Spoonbill,"Espátula Rosada (Garza Morena o Rosada, Pato Cuchara o Rosado)",R,
Cathartiformes,,,,,,
,Cathartidae (4),,,,,
,,Sarcoramphus papa,King Vulture,"Zopilote Rey (Rey Gallinazo, Rey de Zopilotes)",R,
,,Coragyps atratus,Black Vulture,"Zopilote Negro (Zoncho, Gallinazo)",R,
,,Cathartes aura,Turkey Vulture,"Zopilote Cabecirrojo (Zonchite, Noneca)","R, M",
,,Cathartes burrovianus,Lesser Yellow-headed Vulture,Zopilote Cabecigualdo (Noneca),R,
Accipitriformes,,,,,,
,Pandionidae (1),,,,,
,,Pandion haliaetus,Osprey,Águila Pescadora (Gavilán Pescador),M,
,Accipitridae (39),,,,,
,,Gampsonyx swainsonii,Pearl Kite,Elanio Enano,R,
,,Elanus leucurus,White-tailed Kite,"Elanio Coliblanco (Gavilán Bailarín, Gavilancillo Blanco)",R,
,,Chondrohierax uncinatus,Hook-billed Kite,Gavilán Piquiganchudo,R,
,,Leptodon cayanensis,Gray-headed Kite,Gavilán Cabecigrís,R,
,,Elanoides forficatus,Swallow-tailed Kite ,Elanio Tijereta (Gavilán Tijereta),"R, RR, M",
,,Morphnus guianensis,Crested Eagle,Águila Crestada,R,
,,Harpia harpyja,Harpy Eagle,Águila Arpía (Aguilucho),R,
,,Spizaetus tyrannus,Black Hawk-Eagle,Aguilillo Negro (Aguilucho),R,
,,Spizaetus ornatus,Ornate Hawk-Eagle,Aguilillo Penachudo (Aguilucho),R,
,,Spizaetus melanoleucus,Black-and-white Hawk-Eagle,Aguilillo Blanco y Negro (Águila Marcial),R,
,,Microspizias superciliosus,Tiny Hawk,Gavilán Enano (Camaleón),R,
,,Busarellus nigricollis,Black-collared Hawk,Gavilán de Ciénega (Gavilán Pescador),R,
,,Rostrhamus sociabilis,Snail Kite,Elanio Caracolero (Gavilán Caracolero),R,
,,Harpagus bidentatus,Double-toothed Kite,Gavilán Gorgirrayado,R,
,,Ictinia mississippiensis,Mississippi Kite,Elanio Colinegro,M,
,,Ictinia plumbea,Plumbeous Kite,Elanio Plomizo,"RR, M",
,,Circus hudsonius,Northern Harrier,Aguilucho Norteño,M,
,,Accipiter poliogaster,Gray-bellied Hawk,Gavilán Vientrigris,R?,
,,Accipiter striatus,Sharp-shinned Hawk,Gavilán Pajarero (Camaleón),M,
,,Accipiter cooperii,Cooper's Hawk,Gavilán de Cooper (Camaleón),M,
,,Accipiter bicolor,Bicolored Hawk,Gavilán Bicolor (Camaleón),R,
,,Geranospiza caerulescens,Crane Hawk,Gavilán Ranero (Caracolero),R,
,,Buteogallus anthracinus,Common Black Hawk,Gavilán Cangrejero,R,
,,Buteogallus meridionalis,Savanna Hawk,Gavilán Sabanero ,R,
,,Buteogallus urubitinga,Great Black Hawk,"Gavilán Negro Mayor (Aguilucho, Gavilán Silbero, Cangrejero) ",R,
,,Buteogallus solitarius,Solitary Eagle,Águila Solitaria,R- SC,
,,Morphnarchus princeps,Barred Hawk,Gavilán Pechinegro,R,
,,Rupornis magnirostris,Roadside Hawk,Gavilán Chapulinero (Pata Podrida),R,
,,Parabuteo unicinctus,Harris's Hawk,Gavilán Alicastaño,"R, M?",
,,Geranoaetus albicaudatus,White-tailed Hawk,Gavilán Coliblanco (Gavilán Sabanero),R,
,,Pseudastur albicollis,White Hawk,Gavilán Blanco,R,
,,Leucopternis semiplumbeus,Semiplumbeous Hawk,Gavilán Dorsiplomizo,R,
,,Buteo plagiatus,Gray Hawk,Gavilán Gris (Gavilán Pollero),R,
,,Buteo nitidus,Gray-lined Hawk,Gavilán Gris Rayado (Gavilán Pollero) ,R,
,,Buteo platypterus,Broad-winged Hawk,Gavilán Aludo (Gavilán Pollero),M,
,,Buteo brachyurus,Short-tailed Hawk,Gavilán Colicorto,"R, M",
,,Buteo swainsoni,Swainson's Hawk,Gavilán de Swainson,M,
,,Buteo albonotatus,Zone-tailed Hawk,Gavilán Colifajeado,"R, M",
,,Buteo jamaicensis,Red-tailed Hawk,Gavilán Colirrojo (Gavilán Valdivia),"R, M",
Strigiformes,,,,,,
,Tytonidae (1),,,,,
,,Tyto alba,Barn Owl,"Lechuza Ratonera (Lechuza de Campanario, Cara de Gato, Búho)",R,
,Strigidae (17),,,,,
,,Megascops clarkii,Bare-shanked Screech-Owl,Lechucita Serranera (Estucurú o Sorococa) ,R-END,
,,Megascops choliba,Tropical Screech-Owl,Lechucita Neotropical (Estucurú o Sorococa),R,
,,Megascops guatemalae,Middle American Screech-Owl,Lechucita Vermiculada (Estucurú o Sorococa),R,
,,Megascops [forma sin describir],Puntarenas Screech-Owl (forma sin describir),Lechucita de Puntarenas,R,
,,Megascops cooperi,Pacific Screech-Owl,"Lechucita Sabanera (Ju de León, Estucurú o Sorococa)",R,
,,Lophostrix cristata,Crested Owl,Búho Penachudo,R,
,,Pulsatrix perspicillata,Spectacled Owl,Búho de Anteojos (Oropopo),R,
,,Bubo virginianus,Great Horned Owl,Búho Grande,R?,
,,Glaucidium costaricanum,Costa Rican Pygmy-Owl,Mochuelo Montañero,R-END,
,,Glaucidium griseiceps,Central American Pygmy-Owl,Mochuelo Enano,R,
,,Glaucidium brasilianum,Ferruginous Pygmy-Owl,"Mochuelo Común (Cuatro Ojos, Majafierro)",R,
,,Athene cunicularia,Burrowing Owl,Lechuza Llanera,A,
,,Strix virgata,Mottled Owl,Lechuza Café (Ju de León),R,
,,Strix nigrolineata,Black-and-white Owl,Lechuza Blanco y Negro,R,
,,Asio clamator,Striped Owl,Búho Listado,R,
,,Asio flammeus,Short-eared Owl,Lechuza Campestre,A,
,,Aegolius ridgwayi,Unspotted Saw-whet Owl,Lechucita Parda (Lechucita de Alfaro),R,
Trogoniformes,,,,,,
,Trogonidae (9),,,,,
,,Pharomachrus mocinno,Resplendent Quetzal,Quetzal (Coludo),R,
,,Trogon clathratus,Lattice-tailed Trogon,Trogón Ojiblanco,R-END,
,,Trogon massena,Slaty-tailed Trogon,Trogón Coliplomizo (Caicota),R,
,,Trogon melanocephalus,Black-headed Trogon,Trogón Cabecinegro (Viuda Amarilla),R,
,,Trogon bairdii,Baird's Trogon,Trogón Vientribermejo,R-END,
,,Trogon caligatus,Gartered Trogon,Trogón Violáceo ,R,
,,Trogon tenellus,Northern Black-throated Trogon,Trogón Cabeciverde,R,
,,Trogon elegans,Elegant Trogon,Trogón Elegante (Viuda Roja),R,
,,Trogon collaris,Collared Trogon,"Trogón Collarejo (Viuda Roja, Quetzal Macho)",R,
Coraciiformes,,,,,,
,Momotidae (6),,,,,
,,Hylomanes momotula,Tody Motmot,Momoto Enano (Pájaro Bobo),R,
,,Momotus lessonii ,Lesson’s Motmot ,"Momoto Coroniazul (Pájaro Bobo, Bobo Azul)",R,
,,Baryphthengus martii,Rufous Motmot,Momoto Canelo Mayor (Pájaro Bobo),R,
,,Electron carinatum,Keel-billed Motmot,Momoto Pico Quilla (Pájaro Bobo),R,
,,Electron platyrhynchum,Broad-billed Motmot,Momoto Piquiancho (Pájaro Bobo),R,
,,Eumomota superciliosa,Turquoise-browed Motmot,Momoto Cejiceleste (Pájaro Bobo),R,
,Alcedinidae (6),,,,,
,,Megaceryle  torquata,Ringed Kingfisher,Martín Pescador Collarejo,R,
,,Megaceryle alcyon,Belted Kingfisher,Martín Pescador Norteño,M,
,,Chloroceryle amazona,Amazon Kingfisher,Martín Pescador Amazónico,R,
,,Chloroceryle aenea,American Pygmy Kingfisher,Martín Pescador Enano,R,
,,Chloroceryle americana,Green Kingfisher,Martín Pescador Verde,R,
,,Chloroceryle inda,Green-and-rufous Kingfisher,Martín Pescador Vientrirrufo,R,
Piciformes,,,,,,
,Bucconidae (5),,,,,
,,Notharchus hyperrhynchus,White-necked Puffbird,Buco Collarejo,R,
,,Notharchus tectus,Pied Puffbird,Buco Pinto,R,
,,Malacoptila panamensis,White-whiskered Puffbird,Buco Barbón,R,
,,Micromonacha lanceolata,Lanceolated Monklet,Monjito Rayado,R,
,,Monasa morphoeus,White-fronted Nunbird,Monja Frentiblanca (Julío),R,
,Galbulidae (2),,,,,
,,Galbula ruficauda,Rufous-tailed Jacamar,Jacamar Rabirrufo (Gorrión de Montaña),R,
,,Jacamerops aureus,Great Jacamar,Jacamar Grande,R,
,Capitonidae (1),,,,,
,,Eubucco bourcierii,Red-headed Barbet,Barbudo Cabecirrojo (Ruano),R,
,Semnornithidae (1),,,,,
,,Semnornis frantzii,Prong-billed Barbet,"Barbudo Cocora (Cocora, Carcareón)",R-END,
,Ramphastidae (6),,,,,
,,Aulacorhynchus prasinus,Northern Emerald-Toucanet,"Tucancillo Verde (Curré, Curré Verde)",R,
,,Pteroglossus torquatus,Collared Aracari,"Tucancillo Collarejo (Cusingo, Tití, Félix)",R,
,,Pteroglossus frantzii,Fiery-billed Aracari,"Tucancillo Piquianaranjado (Cusingo, Cachis, Filí)",R-END,
,,Selenidera spectabilis,Yellow-eared Toucanet,Tucancillo Orejiamarillo,R-END,
,,Ramphastos ambiguus,Yellow-throated Toucan,"Tucán Pico Castaño (Quioro, Dios te dé, Gran Curré Negro)",R,
,,Ramphastos sulfuratus,Keel-billed Toucan,"Tucán Pico Iris (Tucán Pico Arcoiris, Curré Negro)",R,
,Picidae (16),,,,,
,,Picumnus olivaceus,Olivaceous Piculet,Carpinterito Oliváceo (Telegrafista),R,
,,Sphyrapicus varius,Yellow-bellied Sapsucker,Carpintero Bebedor,M,
,,Melanerpes formicivorus,Acorn Woodpecker,Carpintero Careto (Payasito),R,
,,Melanerpes chrysauchen,Golden-naped Woodpecker,Capintero Nuquidorado,R-END,
,,Melanerpes pucherani,Black-cheeked Woodpecker,Carpintero Carinegro,R,
,,Melanerpes rubricapillus,Red-crowned Woodpecker,Carpintero Nuquirrojo,R,
,,Melanerpes hoffmannii,Hoffmann's Woodpecker,Carpintero de Hoffmann,R-END,
,,Dryobates villosus,Hairy Woodpecker,Carpintero Serranero,R,
,,Dryobates fumigatus,Smoky-brown Woodpecker,Carpintero Pardo,R,
,,Dryobates kirkii,Red-rumped Woodpecker,Carpintero Lomirrojo,R,
,,Campephilus guatemalensis,Pale-billed Woodpecker,"Carpintero Picoplata (Dos Golpes, Carpintero Chiricano)",R,
,,Dryocopus lineatus,Lineated Woodpecker,Carpintero Lineado,R,
,,Celeus loricatus,Cinnamon Woodpecker,Carpintero Canelo,R,
,,Celeus castaneus,Chestnut-colored Woodpecker,Carpintero Castaño,R,
,,Piculus simplex,Rufous-winged Woodpecker,Carpintero Alirrufo,R-END,
,,Colaptes rubiginosus,Golden-olive Woodpecker,Carpintero Verde Dorado,R,
Falconiformes,,,,,,
,Falconidae (13),,,,,
,,Herpetotheres cachinnans,Laughing Falcon,Guaco,R,
,,Micrastur semitorquatus,Collared Forest-Falcon,Halcón de Monte Collarejo,R,
,,Micrastur mirandollei,Slaty-backed Forest-Falcon,Halcón de Monte Dorsigrís,R,
,,Micrastur ruficollis,Barred Forest-Falcon,Halcón de Monte Barreteado,R,
,,Caracara plancus,Crested Caracara,"Caracara Cargahuesos (Cargahuesos, Querque, Quebrantahuesos)",R,
,,Ibycter americanus,Red-throated Caracara,"Caracara Avispera (Cacao, Come Cacao, Deslenguado)",R,
,,Milvago chimachima,Yellow-headed Caracara,Caracara Cabecigualdo,R,
,,Falco sparverius,American Kestrel,"Cernícalo Americano (Klis-Klis, Camaleón)",M,
,,Falco columbarius,Merlin,Esmerejón,M,
,,Falco femoralis,Aplomado Falcon,Halcón Aplomado,M?,
,,Falco rufigularis,Bat Falcon,Halcón Cuelliblanco,R,
,,Falco deiroleucus,Orange-breasted Falcon,Halcón Pechirrufo ,R?,
,,Falco peregrinus,Peregrine Falcon,Halcón Peregrino,M,
Psittaciformes,,,,,,
,Psittacidae (18),,,,,
,,Touit costaricensis,Red-fronted Parrotlet,Periquito Alirrojo,R-END,
,,Bolborhynchus lineola,Barred Parakeet,Perico Listado,R,
,,Brotogeris jugularis,Orange-chinned Parakeet,"Periquito Barbinaranja (Perico, Zapoyolito, Chimbolito, Catano)",R,
,,Pyrilia haematotis,Brown-hooded Parrot,Loro Cabecipardo (Lora),R,
,,Pionus menstruus,Blue-headed Parrot,Loro Cabeciazul (Chucuyo),R,
,,Pionus senilis,White-crowned Parrot,"Loro Coroniblanco (Cotorra, Chucuyo)",R,
,,Amazona autumnalis,Red-lored Parrot,Loro Frentirrojo (Lora Jupa Roja),R,
,,Amazona auropalliata,Yellow-naped Parrot,Lora de Nuca Amarilla (Lora Jupa Amarilla),R,
,,Amazona ochrocephala ,Yellow-crowned Parrot,Lora Coroniamarilla,A,
,,Amazona albifrons,White-fronted Parrot,"Loro Frentiblanco (Cancan, Lora)",R,
,,Amazona farinosa,Mealy Parrot,"Loro Verde (Lora Cabeza Negra, Lora Jupa Gris)",R,
,,Pyrrhura hoffmanni,Sulphur-winged Parakeet,Perico Aliazufrado,R-END,
,,Eupsittula nana,Olive-throated Parakeet,Perico Azteco,R,
,,Eupsittula canicularis,Orange-fronted Parakeet,"Perico Frentinaranja (Catano, Periquito, Zapoyol)",R,
,,Eupsittula pertinax,Brown-throated Parakeet,Perico Gorgicafé,R,
,,Ara ambiguus,Great Green Macaw ,Guacamayo Verde Mayor (Lapa Verde),R,
,,Ara macao,Scarlet Macaw,"Guacamayo Rojo (Lapa Roja, Lapa Colorada)",R,
,,Psittacara finschi,Crimson-fronted Parakeet,"Perico Frentirrojo (Cotorra, Chucuyo, Perico Colilarga o de Palmera)",R-END,
Passeriformes,,,,,,
,Thamnophilidae (22),,,,,
,,Euchrepomis callinota,Rufous-rumped Antwren,Hormiguerito Lomirrufo,R,
,,Cymbilaimus lineatus,Fasciated Antshrike,Batará Lineado,R,
,,Taraba major,Great Antshrike,Batará Grande,R,
,,Thamnophilus doliatus,Barred Antshrike,Batará Barreteado,R,
,,Thamnophilus atrinucha,Black-crowned Antshrike,Batará Plomizo,R,
,,Thamnophilus bridgesi,Black-hooded Antshrike,Batará Negruzco,R-END,
,,Thamnistes anabatinus,Russet Antshrike,Batará Café,R,
,,Dysithamnus mentalis,Plain Antvireo,Batarito Cabecigrís,R,
,,Dysithamnus striaticeps,Streak-crowned Antvireo,Batarito Pechirrayado,R-END,
,,Dysithamnus puncticeps,Spot-crowned Antvireo,Batarito Cabecipunteado,R,
,,Epinecrophylla fulviventris,Checker-throated Stipplethroat,Hormiguerito Café,R,
,,Myrmotherula axillaris,White-flanked Antwren,Hormiguerito Flanquiblanco,R,
,,Myrmotherula schisticolor,Slaty Antwren,Hormiguerito Pizarroso,R,
,,Microrhopias quixensis,Dot-winged Antwren,Hormiguerito Alipunteado,R,
,,Cercomacroides tyrannina,Dusky Antbird,Hormiguero Negruzco,R,
,,Gymnocichla nudiceps,Bare-crowned Antbird,Hormiguero Calvo,R,
,,Poliocrania exsul,Chestnut-backed Antbird,Hormiguero Dorsicastaño,R,
,,Sipia laemosticta,Dull-mantled Antbird,Hormiguero Alimaculado,R,
,,Hafferia zeledoni,Zeledon's Antbird,Hormiguero de Zeledón,R,
,,Gymnopithys bicolor,Bicolored Antbird,Hormiguero Bicolor,R,
,,Hylophylax naevioides,Spotted Antbird,Hormiguero Moteado,R,
,,Phaenostictus mcleannani,Ocellated Antbird,Hormiguero Ocelado,R,
,Conopophagidae (1),,,,,
,,Pittasoma michleri,Black-crowned Antpitta,Tororoi Pechiescamoso (Hormiguero),R-END,
,Grallariidae (4),,,,,
,,Grallaria guatimalensis,Scaled Antpitta,Tororoi Dorsiescamado (Hormiguero),R,
,,Hylopezus perspicillatus,Streak-chested Antpitta,Tororoi Pechilistado (Hormiguero),R,
,,Myrmothera dives,Thicket Antpitta,Tororoi Pechicanelo (Hormiguero),R-END,
,,Grallaricula flavirostris,Ochre-breasted Antpitta,Tororoi Piquigualdo (Hormiguero),R,
,Rhinocryptidae (1),,,,,
,,Scytalopus argentifrons,Silvery-fronted Tapaculo,Tapaculo Frentiplateado,R-END,
,Formicariidae (3),,,,,
,,Formicarius analis,Black-faced Antthrush,Gallito Hormiguero Carinegro,R,
,,Formicarius nigricapillus,Black-headed Antthrush,Gallito Hormiguero Cabecinegro,R,
,,Formicarius rufipectus,Rufous-breasted Antthrush,Gallito Hormiguero Pechicastaño,R,
,Furnariidae (35),,,,,
,,Sclerurus mexicanus,Middle American Leaftosser,Tirahojas Pechirrufo,R,
,,Sclerurus guatemalensis,Scaly-throated Leaftosser,Tirahojas Barbiescamado,R,
,,Sclerurus albigularis,Gray-throated Leaftosser,Tirahojas Gargantigrís,R,
,,Sittasomus griseicapillus,Olivaceous Woodcreeper,Trepadorcito Aceitunado,R,
,,Deconychura longicauda,Long-tailed Woodcreeper,Trepador Delgado,R,
,,Dendrocincla homochroa,Ruddy Woodcreeper,Trepador Rojizo,R,
,,Dendrocincla anabatina,Tawny-winged Woodcreeper,Trepador Alirrubio,R,
,,Dendrocincla fuliginosa,Plain-brown Woodcreeper,Trepador Pardo,R,
,,Glyphorynchus spirurus,Wedge-billed Woodcreeper,Trepadorcito Pico de Cuña ,R,
,,Dendrocolaptes sanctithomae,Northern Barred-Woodcreeper,Trepador Barreteado,R,
,,Dendrocolaptes picumnus,Black-banded Woodcreeper,Trepador Vientribarreteado,R,
,,Xiphocolaptes promeropirhynchus,Strong-billed Woodcreeper,Trepador Gigante,R,
,,Xiphorhynchus susurrans,Cocoa Woodcreeper,Trepador Gorgianteado,R,
,,Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,Trepador Piquiclaro,R,
,,Xiphorhynchus lachrymosus,Black-striped Woodcreeper,Trepador Pinto (Relinchero),R,
,,Xiphorhynchus erythropygius,Spotted Woodcreeper,Trepador Manchado,R,
,,Campylorhamphus pusillus ,Brown-billed Scythebill,Trepador Pico de Hoz,R,
,,Lepidocolaptes souleyetii,Streak-headed Woodcreeper,Trepador Cabecirrayado,R,
,,Lepidocolaptes affinis,Spot-crowned Woodcreeper,Trepador Cabecipunteado,R,
,,Xenops minutus,Plain Xenops,Xenops Común,R,
,,Xenops rutilans,Streaked Xenops,Xenops Rayado,R,
,,Pseudocolaptes lawrencii,Buffy Tuftedcheek,Trepamusgo Cachetón,R-END,
,,Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner,Trepamusgo de Anteojos,R,
,,Syndactyla subalaris,Lineated Foliage-gleaner,Trepamusgo Lineado,R,
,,Dendroma rufa,Buff-fronted Foliage-gleaner,Trepamusgo Rojizo,R,
,,Clibanornis rubiginosus,Ruddy Foliage-gleaner,Hojarrasquero Rojizo,R,
,,Thripadectes rufobrunneus,Streak-breasted Treehunter,Trepamusgo Cuellirojizo,R-END,
,,Automolus cervinigularis,Fawn-throated Foliage-gleaner,Hojarrasquero Gorgianteado,R,
,,Automolus exsertus,Chiriqui Foliage-gleaner,Hojarrasquero de Chiriquí,R-END,
,,Automolus virgatus,Western Woodhaunter,Trepamusgo Rayado,R,
,,Premnoplex brunnescens,Spotted Barbtail,Subepalo Moteado,R,
,,Margarornis rubiginosus,Ruddy Treerunner,Subepalo Rojizo (Chupamusgo) ,R-END,
,,Cranioleuca erythrops,Red-faced Spinetail,Colaespina Carirroja,R,
,,Synallaxis brachyura,Slaty Spinetail,Arquitecto Plomizo,R,
,,Synallaxis albescens,Pale-breasted Spinetail,Arquitecto Güitío,R,
,Pipridae (8),,,,,
,,Chiroxiphia lanceolata,Lance-tailed Manakin,Saltarín Coludo (Toledo),R,
,,Chiroxiphia linearis,Long-tailed Manakin,Saltarín Toledo (Toledo),R,
,,Corapipo altera,White-ruffed Manakin,Saltarín Gorgiblanco,R,
,,Lepidothrix velutina,Velvety Manakin,Saltarín Coroniceleste,R,
,,Manacus candei,White-collared Manakin,"Saltarín Cuelliblanco (Quiebrapalos, Quiebraramas, Bailarín) ",R,
,,Manacus aurantiacus,Orange-collared Manakin,"Saltarín Cuellinaranja (Quiebrapalos, Hombrecillo) ",R-END,
,,Pseudopipra pipra,White-crowned Manakin,Saltarín Coroniblanco,R,
,,Ceratopipra mentalis,Red-capped Manakin,Saltarín Cabecirrojo,R,
,Cotingidae (8),,,,,
,,Querula purpurata,Purple-throated Fruitcrow,Querula Gorgimorada,R,
,,Cephalopterus glabricollis,Bare-necked Umbrellabird,Pájaro-sombrilla Cuellinudo (Pájaro Danta),R-END,
,,Cotinga amabilis,Lovely Cotinga,Cotinga Linda,R,
,,Cotinga ridgwayi,Turquoise Cotinga,Cotinga Turquesa,R-END,
,,Lipaugus unirufus,Rufous Piha,Piha Rojiza,R,
,,Procnias tricarunculatus,Three-wattled Bellbird,"Campanero Tricarunculado (Pájaro Campana, Rin-Ran, Calandria)",R-END,
,,Carpodectes antoniae,Yellow-billed Cotinga,Cotinga Piquiamarillo,R-END,
,,Carpodectes nitidus,Snowy Cotinga,Cotinga Blanca,R-END,
,Tityridae (9),,,,,
,,Tityra inquisitor,Black-crowned Tityra,Tityra Coroninegra (Pájaro Chancho),R,
,,Tityra semifasciata,Masked Tityra,"Tityra Carirroja (Pájaro Chancho, Calandria) ",R,
,,Schiffornis veraepacis,Northern Schiffornis,Tordo-saltarín,R,
,,Laniocera rufescens,Speckled Mourner,Plañidera Moteada,R,
,,Pachyramphus versicolor,Barred Becard,Cabezón Ondeado,R,
,,Pachyramphus cinnamomeus,Cinnamon Becard,Cabezón Canelo,R,
,,Pachyramphus polychopterus,White-winged Becard,Cabezón Aliblanco,R,
,,Pachyramphus albogriseus,Black-and-white Becard,Cabezón Cejiblanco,R,
,,Pachyramphus aglaiae,Rose-throated Becard,Cabezón Plomizo,R,
,Oxyruncidae (5),,,,,
,,Oxyruncus cristatus,Sharpbill,Picoagudo,R,
,,Onychorhynchus coronatus,Tropical Royal Flycatcher,Mosquero Real,R,
,,Terenotriccus erythrurus,Ruddy-tailed Flycatcher,Mosquerito Colirrufo,R,
,,Myiobius sulphureipygius,Sulphur-rumped Flycatcher,Mosquerito Lomiamarillo,R,
,,Myiobius atricaudus,Black-tailed Flycatcher,Mosquerito Colinegro,R,
,Tyrannidae (80),,,,,
,,Piprites griseiceps,Gray-headed Piprites,Saltarín Cabecigrís,R,
,,Platyrinchus cancrominus,Stub-tailed Spadebill,Piquichato Norteño,R,
,,Platyrinchus mystaceus,White-throated Spadebill,Piquichato Gargantiblanco,R,
,,Platyrinchus coronatus,Golden-crowned Spadebill,Piquichato Coronirrufo,R,
,,Mionectes olivaceus,Olive-streaked Flycatcher,Mosquerito Ojimanchado (Tontillo),R,
,,Mionectes oleagineus,Ochre-bellied Flycatcher,Mosquerito Aceitunado (Tontillo),R,
,,Leptopogon amaurocephalus,Sepia-capped Flycatcher,Mosquerito Cabecipardo,R,
,,Leptopogon superciliaris,Slaty-capped Flycatcher,Mosquerito Orejinegro,R,
,,Phylloscartes superciliaris,Rufous-browed Tyrannulet,Mosquerito Cejirrufo,R,
,,Myiornis atricapillus,Black-capped Pygmy-Tyrant,Mosquerito Colicorto,R,
,,Lophotriccus pileatus,Scale-crested Pygmy-Tyrant,Mosquerito de Yelmo,R,
,,Oncostoma cinereigulare,Northern Bentbill,Piquitorcido Norteño (Brujita) ,R,
,,Poecilotriccus sylvia,Slate-headed Tody-Flycatcher,Espatulilla Cabecigrís,R,
,,Todirostrum cinereum,Common Tody-Flycatcher,"Espatulilla Común (Espatulilla, Mantequillilla)",R,
,,Todirostrum nigriceps,Black-headed Tody-Flycatcher,Espatulilla Cabecinegra,R,
,,Rhynchocyclus brevirostris,Eye-ringed Flatbill,Piquiplano de Anteojos,R,
,,Tolmomyias sulphurescens,Yellow-olive Flatbill,Piquiplano Azufrado,R,
,,Tolmomyias flavotectus,Yellow-winged Flatbill,Piquiplano Aliamarillo,R,
,,Ornithion semiflavum,Yellow-bellied Tyrannulet,Mosquerito Cejiblanco,R,
,,Ornithion brunneicapillus,Brown-capped Tyrannulet,Mosquerito Gorricafé,R,
,,Camptostoma imberbe,Northern Beardless-Tyrannulet,Mosquerito Chillón,"R, M?",
,,Camptostoma obsoletum,Southern Beardless-Tyrannulet,Mosquerito Silbador,R,
,,Nesotriccus incomtus,Northern Mouse-colored Tyrannulet,Mosquerito Cafecito,R,
,,Nesotriccus ridgwayi,Cocos Flycatcher,Mosquerito de la Isla del Coco,R-END,
,,Capsiempis flaveola,Yellow Tyrannulet,Mosquerito Amarillo,R,
,,Tyrannulus elatus,Yellow-crowned Tyrannulet,Mosquerito Coroniamarillo,R,
,,Myiopagis viridicata,Greenish Elaenia,Elainia Verdosa (Tontillo),R,
,,Elaenia flavogaster,Yellow-bellied Elaenia,"Elainia Copetona (Tontillo, Bobillo, Copetoncillo) ",R,
,,Elaenia chiriquensis,Lesser Elaenia,Elainia Sabanera (Tontillo),R,
,,Elaenia frantzii,Mountain Elaenia,"Elainia Montañera (Tontillo, Bobillo)",R,
,,Serpophaga cinerea,Torrent Tyrannulet,Mosquerito Guardarrios,R,
,,Phyllomyias zeledoni,White-fronted Tyrannulet,Mosquerito Frentiblanco,R,
,,Zimmerius parvus,Mistletoe Tyrannulet,Mosquerito Cejigrís,R,
,,Myiophobus fasciatus,Bran-colored Flycatcher,Mosquerito Pechirrayado,R,
,,Aphanotriccus capitalis,Tawny-chested Flycatcher,Mosquerito Pechileonado,R-END,
,,Mitrephanes phaeocercus,Tufted Flycatcher,Mosquerito Moñudo,R,
,,Contopus cooperi,Olive-sided Flycatcher,Pibí Boreal (Tontillo) ,M,
,,Contopus ochraceus,Ochraceous Pewee,Pibí Ocráceo (Tontillo) ,R-END,
