"Orden","Familia","Taxa","Ingles","Español","...7","Species","# or cw"
"","","Claravis pretiosa","Blue Ground Dove","Tortolita Azulada","","Blue Ground Dove",NA
"","","Paraclaravis mondetoura","Maroon-chested Ground Dove","Tortolita Serranera","",NA,NA
"","","Geotrygon montana","Ruddy Quail-Dove","Paloma-Perdiz Rojiza","",NA,NA
"","","Geotrygon violacea","Violaceous Quail-Dove","Paloma-Perdiz Violácea","",NA,NA
"","","Leptotrygon veraguensis","Olive-backed Quail-Dove","Paloma-Perdiz Bigotiblanca","",NA,NA
"","","Leptotila verreauxi","White-tipped Dove","Paloma Coliblanca (Coliblanca, Yuré)","","White-tipped Dove",NA
"","","Leptotila cassinii","Gray-chested Dove","Paloma Pechigrís (Yuré)","","Gray-chested Dove",NA
"","","Leptotila plumbeiceps","Gray-headed Dove","Paloma Coronigrís (Yuré)","","Gray-headed Dove",NA
"","","Zentrygon costaricensis","Buff-fronted Quail-Dove","Paloma-Perdiz Costarricense","",NA,NA
"","","Zentrygon lawrencii","Purplish-backed Quail-Dove","Paloma-Perdiz Sombría","",NA,NA
"","","Zentrygon chiriquensis","Chiriqui Quail-Dove","Paloma-Perdiz Pechicanela","",NA,NA
"","","Zenaida asiatica","White-winged Dove","Paloma Aliblanca (Arrocera)","","White-winged Dove",NA
"","","Zenaida auriculata","Eared Dove","Paloma Torcaza","",NA,NA
"","","Zenaida macroura","Mourning Dove","Paloma Rabuda","","Mourning Dove",NA
"Cuculiformes","","","","","",NA,NA
"","Cuculidae","","","","",NA,NA
"","","Crotophaga major","Greater Ani","Garrapatero Mayor (Tijo)","",NA,NA
"","","Crotophaga ani","Smooth-billed Ani","Garrapatero Piquiliso (Tijo, Tinco)","",NA,NA
"","","Crotophaga sulcirostris","Groove-billed Ani","Garrapatero Piquiestriado (Tijo, Tinco, Zopilotillo)","","Groove-billed Ani",NA
"","","Tapera naevia","Striped Cuckoo","Cuclillo Listado (Rondero, Tres Pesos, Ave de las Ánimas)","",NA,NA
"","","Dromococcyx phasianellus","Pheasant Cuckoo","Cuclillo Faisán","",NA,NA
"","","Morococcyx erythropygus","Lesser Ground-Cuckoo","Cuclillo Sabanero (Horero)","","Lesser Ground-Cuckoo",NA
"","","Neomorphus geoffroyi","Rufous-vented Ground-Cuckoo","Cuco Hormiguero","",NA,NA
"","","Piaya cayana","Squirrel Cuckoo","Cuco Ardilla (Bobo Chiso, Cacao, San Miguel)","","Squirrel Cuckoo",NA
"","","Coccyzus melacoryphus","Dark-billed Cuckoo","Cuclillo Piquioscuro","",NA,NA
