Familia,Taxa,Ingles,Español,Species
,Icterus galbula,Baltimore Oriole,"Bolsero Norteño (Cacique Veranero, Cacicón, Naranjero)",Baltimore Oriole
,Dives dives,Melodious Blackbird,Tordo Cantor,Melodious Blackbird
,Quiscalus mexicanus,Great-tailed Grackle,"Zanate Grande (Sanate, Zanate)",Great-tailed Grackle
Parulidae,,,,
,Seiurus aurocapilla,Ovenbird,Reinita Hornera,Ovenbird
,Helmitheros vermivorum,Worm-eating Warbler,Reinita Gusanera,Worm-eating Warbler
,Parkesia noveboracensis,Northern Waterthrush,"Reinita Acuática Norteña (Menea Cola, Tordo de Agua)",Northern Waterthrush
,Vermivora chrysoptera,Golden-winged Warbler,Reinita Alidorada,Golden-winged Warbler
,Mniotilta varia,Black-and-white Warbler,Reinita Trepadora (Zebrita),Black-and-white Warbler
,Protonotaria citrea,Prothonotary Warbler,Reinita Cabecidorada,Prothonotary Warbler
,Leiothlypis peregrina,Tennessee Warbler,Reinita Verdilla (Cazadorcita),Tennessee Warbler
,Oporornis agilis,Connecticut Warbler,Reinita Ojianillada,Connecticut Warbler
,Geothlypis poliocephala,Gray-crowned Yellowthroat,Antifacito Coronigrís,Gray-crowned Yellowthroat
,Geothlypis philadelphia,Mourning Warbler,Reinita Enlutada,Mourning Warbler
,Geothlypis formosa,Kentucky Warbler,Reinita Cachetinegra,Kentucky Warbler
,Setophaga ruticilla,American Redstart,Candelita Norteña (Raya Roja),American Redstart
,Setophaga magnolia,Magnolia Warbler,Reinita Colifajeada,Magnolia Warbler
,Setophaga fusca,Blackburnian Warbler,Reinita Gorginaranja,Blackburnian Warbler
,Setophaga petechia,Yellow Warbler,Reinita Amarilla (Canarita),Yellow Warbler
,Setophaga pensylvanica,Chestnut-sided Warbler,Reinita de Costillas Castañas,Chestnut-sided Warbler
,Setophaga coronata,Yellow-rumped Warbler,Reinita Lomiamarilla,Yellow-rumped Warbler
,Setophaga virens,Black-throated Green Warbler,Reinita Cariamarilla,Black-throated Green Warbler
,Basileuterus delattrii,Chestnut-capped Warbler,Reinita Cabecicastaña,Chestnut-capped Warbler
,Cardellina canadensis,Canada Warbler,Reinita Pechirrayada,Canada Warbler
Cardinalidae,,,,
,Piranga rubra,Summer Tanager,"Tangara Veranera (Cardenal Veranero, Pan de Achiote, Sangre Toro)",Summer Tanager
,Piranga olivacea,Scarlet Tanager,Tangara Escarlata (Cardenal Alas Negras),Scarlet Tanager
,Piranga ludoviciana,Western Tanager,Tangara Carirroja,Western Tanager
,Habia fuscicauda,Red-throated Ant-Tanager,Tangara Hormiguera Gorgirroja,Red-throated Ant-Tanager
,Pheucticus ludovicianus,Rose-breasted Grosbeak,Picogrueso Pechirrosado (Calandria),Rose-breasted Grosbeak
,Passerina caerulea,Blue Grosbeak,Picogrueso Azul (Alondra),Blue Grosbeak
,Passerina cyanea,Indigo Bunting,Azulillo Norteño (Indris),Indigo Bunting
,Passerina ciris,Painted Bunting,"Azulillo Sietecolores (Arcoiris, Siete Colores)",Painted Bunting
,Spiza americana,Dickcissel,"Sabanero Arrocero (Arrocero, Pius)",Dickcissel
Thraupidae,,,,
,Eucometis  penicillata,Gray-headed Tanager,Tangara Cabecigrís,Gray-headed Tanager
,Thraupis episcopus,Blue-gray Tanager,"Tangara Azuleja (Viudita, Viuda)",Blue-gray Tanager
,Cyanerpes cyaneus,Red-legged Honeycreeper,"Mielero Patirrojo (Picudo, Mielero, Tucuso, Trepador)",Red-legged Honeycreeper
,Volatinia jacarina,Blue-black Grassquit,"Semillerito Negro Azulado (Brea, Pius, Piusillo Negro, Saltapalito)",Blue-black Grassquit
,Sporophila morelleti,Morelet's Seedeater,Espiguero Collarejo (Setillero Collarejo),Morelet's Seedeater
