Familia,Taxa,Ingles,Español,Species
,Anarhynchus collaris,Collared Plover,Chorlitejo Collarejo (Turillo),Collared Plover
,Anarhynchus nivosus,Snowy Plover,"Chorlitejo Patinegro (Chorlito, Turillo)",Snowy Plover
,Anarhynchus wilsonia,Wilson's Plover,"Chorlitejo Picudo (Chorlito Gritón, Turillo)",Wilson's Plover
,Charadrius semipalmatus,Semipalmated Plover,"Chorlitejo Semipalmado (Chorlito, Turillo)",Semipalmated Plover
,Charadrius vociferus,Killdeer,"Chorlitejo de Dos Collares (Pijije, Tildío)",Killdeer
Jacanidae,,,,
,Jacana spinosa,Northern Jacana,"Jacana Centroamericana (Cirujano, Gallito de Agua, Mulita, Yegüita)",Northern Jacana
Scolopacidae,,,,
,Numenius phaeopus,Whimbrel,"Zarapito Trinador (Cherelá, Zarceta)",Whimbrel
,Limnodromus griseus,Short-billed Dowitcher,Agujeta Común,Short-billed Dowitcher
,Actitis macularius,Spotted Sandpiper,"Andarríos Maculado (Alzacolita, Piririza, Tigüiza)",Spotted Sandpiper
,Tringa solitaria,Solitary Sandpiper,Andarríos Solitario (Tigüiza),Solitary Sandpiper
,Tringa flavipes,Lesser Yellowlegs,"Patiamarillo Menor (Pijije, Zarceta)",Lesser Yellowlegs
,Tringa semipalmata,Willet,Pigüilo,Willet
,Tringa melanoleuca,Greater Yellowlegs,"Patiamarillo Mayor (Correlimos Grande, Pijije, Zarceta)",Greater Yellowlegs
,Arenaria interpres,Ruddy Turnstone,Vuelvepiedras Rojizo,Ruddy Turnstone
,Calidris canutus,Red Knot,Correlimos Grande,Red Knot
,Calidris alba,Sanderling,Playero Arenero,Sanderling
,Calidris minutilla,Least Sandpiper,"Correlimos Menudo (Patudo, Becacina)",Least Sandpiper
,Calidris mauri,Western Sandpiper,"Correlimos Occidental (Patudo, Becacina)",Western Sandpiper
,Calidris pusilla,Semipalmated Sandpiper,Correlimos Semipalmado,Semipalmated Sandpiper
Laridae,,,,
,Xema sabini,Sabine's Gull,Gaviota de Sabine,Sabine's Gull
,Leucophaeus atricilla,Laughing Gull,Gaviota Reidora,Laughing Gull
,Chlidonias niger,Black Tern,Charrancito Negro,Black Tern
,Sterna hirundo,Common Tern,Charrán Común,Common Tern
,Thalasseus sandvicensis,Sandwich Tern,Pagaza Puntiamarilla,Sandwich Tern
,Thalasseus elegans,Elegant Tern,Pagaza Elegante,Elegant Tern
,Thalasseus maximus,Royal Tern,Pagaza Real,Royal Tern
Eurypygidae,,,,
,Eurypyga helias,Sunbittern,"Garza del Sol (Sol y Luna, Ave Canasta)",Sunbittern
Ciconiidae,,,,
,Mycteria americana,Wood Stork,"Cigüeñón (Garzón, Guairón, Cigüeña)",Wood Stork
Fregatidae,,,,
,Fregata magnificens,Magnificent Frigatebird,"Rabihorcado Magno (Tijereta, Fragata, Zopilote de Mar)",Magnificent Frigatebird
Sulidae,,,,
,Sula leucogaster,Brown Booby,"Piquero Moreno (Monjita, Alcatraz)",Brown Booby
,Sula dactylatra,Masked Booby,Piquero Blanco,Masked Booby
,Sula nebouxii,Blue-footed Booby,Piquero Patiazul,Blue-footed Booby
Anhingidae,,,,
,Anhinga anhinga,Anhinga,Aninga (Pato Aguja),Anhinga
Phalacrocoracidae,,,,
,Nannopterum brasilianum,Neotropic Cormorant,"Cormorán Neotropical (Pato Chancho, Pato de Agua, Bigua)",Neotropic Cormorant
Pelecanidae,,,,
,Pelecanus occidentalis,Brown Pelican,"Pelícano Pardo (Buchón, Pelícano, Alcatraz)",Brown Pelican
Ardeidae,,,,
,Tigrisoma mexicanum,Bare-throated Tiger-Heron,"Garza-Tigre Cuellinuda (Garzón, Martín Peña, Pájaro Vaco)",Bare-throated Tiger-Heron
,Tigrisoma fasciatum,Fasciated Tiger-Heron,"Garza-Tigre de Río (Martín Peña, Pájaro Vaco)",Fasciated Tiger-Heron
,Cochlearius cochlearius,Boat-billed Heron,"Pico Cuchara (Chocuaco, Cuaca)",Boat-billed Heron
,Nyctanassa violacea,Yellow-crowned Night Heron,Martinete Cabecipinto,Yellow-crowned Night Heron
,Nycticorax nycticorax,Black-crowned Night Heron,Martinete Coroninegro (Chocuaca),Black-crowned Night Heron
,Egretta caerulea,Little Blue Heron,Garceta Azul (Garza Negra),Little Blue Heron
,Egretta tricolor,Tricolored Heron,Garceta Tricolor,Tricolored Heron
,Egretta rufescens,Reddish Egret,Garceta Rojiza,Reddish Egret
,Egretta thula,Snowy Egret,Garceta Nivosa,Snowy Egret
,Butorides virescens,Green Heron,Garcilla Verde (Martín Peña),Green Heron
,Bubulcus ibis,Western Cattle Egret,"Garcilla Bueyera (Garcilla Ganadera, Garza Vaquera, Garza de Ganado)",Western Cattle Egret
,Ardea herodias,Great Blue Heron,"Garzón Azulado (Garza Ceniza, Garzón)",Great Blue Heron
,Ardea alba,Great Egret,Garceta Grande (Garza Real),Great Egret
